2020-03-03 13:09:04.926  INFO 30607 --- [RMI TCP Connection(11)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2020-03-03 13:09:07.444  INFO 31024 --- [main] com.qa.jms.JmsExampleApplication         : Starting JmsExampleApplication on JHarry-Laptop with PID 31024 (/home/jharry/git/Account-Example-Micro/JMS-Example/target/classes started by jharry in /home/jharry/git/Account-Example-Micro/JMS-Example)
2020-03-03 13:09:07.446  INFO 31024 --- [main] com.qa.jms.JmsExampleApplication         : No active profile set, falling back to default profiles: default
2020-03-03 13:09:08.345  INFO 31024 --- [ActiveMQ Task-1] o.a.a.t.failover.FailoverTransport       : Successfully connected to tcp://localhost:61616
2020-03-03 13:09:08.376  INFO 31024 --- [main] com.qa.jms.JmsExampleApplication         : Started JmsExampleApplication in 1.263 seconds (JVM running for 1.814)
2020-03-03 13:09:16.273  INFO 31024 --- [DefaultMessageListenerContainer-1] com.qa.jms.receiver.Receiver             : Received <"POST Account [id=null, firstName=Nick, lastName=Jones, accountNumber=c284204, prize=100.0]">
2020-03-03 13:14:34.242  INFO 31024 --- [RMI TCP Connection(18)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2020-03-03 13:14:38.795  INFO 31578 --- [main] com.qa.jms.JmsExampleApplication         : Starting JmsExampleApplication on JHarry-Laptop with PID 31578 (/home/jharry/git/Account-Example-Micro/JMS-Example/target/classes started by jharry in /home/jharry/git/Account-Example-Micro/JMS-Example)
2020-03-03 13:14:38.802  INFO 31578 --- [main] com.qa.jms.JmsExampleApplication         : No active profile set, falling back to default profiles: default
2020-03-03 13:14:40.987  INFO 31578 --- [ActiveMQ Task-1] o.a.a.t.failover.FailoverTransport       : Successfully connected to tcp://localhost:61616
2020-03-03 13:14:41.094  INFO 31578 --- [main] com.qa.jms.JmsExampleApplication         : Started JmsExampleApplication in 3.366 seconds (JVM running for 5.299)
2020-03-03 13:14:48.571  INFO 31578 --- [DefaultMessageListenerContainer-1] com.qa.jms.receiver.Receiver             : Received <"POST Account [id=null, firstName=Nick, lastName=Jones, accountNumber=c496610, prize=100.0]">
2020-04-24 13:45:50.311  INFO 20972 --- [main] com.qa.jms.JmsExampleApplication         : Starting JmsExampleApplication on DESKTOP-LV9P6NF with PID 20972 (C:\SPB_Data\git\Account-Example-Micro\JMS-Example\target\classes started by Tyler in C:\SPB_Data\git\Account-Example-Micro\JMS-Example)
2020-04-24 13:45:50.313  INFO 20972 --- [main] com.qa.jms.JmsExampleApplication         : No active profile set, falling back to default profiles: default
2020-04-24 13:45:50.994  INFO 20972 --- [ActiveMQ Task-1] o.a.a.t.failover.FailoverTransport       : Successfully connected to tcp://localhost:61616
2020-04-24 13:45:51.019  INFO 20972 --- [main] com.qa.jms.JmsExampleApplication         : Started JmsExampleApplication in 0.954 seconds (JVM running for 1.735)
2020-04-24 13:45:51.033  INFO 20972 --- [DefaultMessageListenerContainer-1] com.qa.jms.receiver.Receiver             : Received <"first name:tyler lastname:eddy">
2020-04-24 13:45:51.034  INFO 20972 --- [DefaultMessageListenerContainer-1] com.qa.jms.receiver.Receiver             : Received <"first name:tyler lastname:eddy">
2020-04-24 13:45:51.034  INFO 20972 --- [DefaultMessageListenerContainer-1] com.qa.jms.receiver.Receiver             : Received <"first name:tyler lastname:eddy">
2020-04-24 13:45:51.034  INFO 20972 --- [DefaultMessageListenerContainer-1] com.qa.jms.receiver.Receiver             : Received <"first name:tyler lastname:eddy">
2020-04-24 13:45:51.034  INFO 20972 --- [DefaultMessageListenerContainer-1] com.qa.jms.receiver.Receiver             : Received <"first name:tyler lastname:eddy">
